word,original,pos,accent,note,source
-いで,,,LL/HH,強勢形はHH,近畿日本語アクセント辞典
-う,,助動,L,,近畿日本語アクセント辞典
-え,,終助,H,,近畿日本語アクセント辞典
-える,得る,助動,LH/HH,HのあとではHH、LのあとではLH,近畿日本語アクセント辞典
-おす,,助動,HH/LH,HのあとではHH、LのあとではLH。,近畿日本語アクセント辞典
-おます,,助動,HHH,,近畿日本語アクセント辞典
-かねる,兼ねる,助動,LLH/HHH,HのあとではHHH、LのあとではLLH,近畿日本語アクセント辞典
-から,,接助,LL,,近畿日本語アクセント辞典
-が,,接助,L,,近畿日本語アクセント辞典
-がた,方,接尾語,LL/HL,,近畿日本語アクセント辞典
-がたい,難い,助動,HLL,,近畿日本語アクセント辞典
-がち,勝ち,助動,LH/HH,HのあとではHH、LのあとではLH,近畿日本語アクセント辞典
-くらい,,終助,LLL,,近畿日本語アクセント辞典
-けつかる,,助動,HHLL/HLLL,正則・通例ともにHHLLだが、HLLLも許容される。,近畿日本語アクセント辞典
-けど,,接助,HL,,近畿日本語アクセント辞典
-こます,,助動,HHH,,近畿日本語アクセント辞典
-さかいに,,接助,LLLL,,近畿日本語アクセント辞典
-させる,,助動,HHH/LLH,HのあとではHHH、LのあとではLLH,近畿日本語アクセント辞典
-さらす,,助動,HHH,,近畿日本語アクセント辞典
-し,,接助,L,,近畿日本語アクセント辞典
-しめる,,助動,HHH/LLH,HのあとではHHH、LのあとではLLH,近畿日本語アクセント辞典
-ず,,助動,L,Hも許容,近畿日本語アクセント辞典
-せる,,助動,HH/LH,HのあとではHH、LのあとではLH,近畿日本語アクセント辞典
-そう,,助動,HL,,近畿日本語アクセント辞典
-そこなう,損なう,助動,LLLH/HHHH,HのあとではHHHH、LのあとではLLLH,近畿日本語アクセント辞典
-たい,,助動,LL,,近畿日本語アクセント辞典
-たがる,,助動,HHH/LLH,HのあとではHHH、LのあとではLLH,近畿日本語アクセント辞典
-っちゅう,,連語(俗),LLL,,近畿日本語アクセント辞典
-づらい,辛い,助動,HLL,,近畿日本語アクセント辞典
-てらんと,,連語(俗),HHLL/LHLL,HのあとではHHLL、LのあとではLHLL,近畿日本語アクセント辞典
-てる,,助動(俗),HH/LH,HのあとではHH、LのあとではLH,近畿日本語アクセント辞典
-てん,,連語,LL,,近畿日本語アクセント辞典
-でっせ,,連語(俗),LLH,派生形（だっせ・どっせ）も同様。,近畿日本語アクセント辞典
-ども,共,接尾語,LL/HL,,近畿日本語アクセント辞典
-な,,連語,L,,近畿日本語アクセント辞典
-ないな,,終助,LLL,,近畿日本語アクセント辞典
-なさる,,助動詞,HHH,派生形(なはる)も同様。異型HLLも許容する。,近畿日本語アクセント辞典
-なさる,,助動,LLH/HHH,HのあとではHHH、LのあとではLLH,甲種日本語アクセント辞典（OCR）
-なんだ,,助動,LLL,,近畿日本語アクセント辞典
-なんで,,助動,LLL,,近畿日本語アクセント辞典
-ぬ,,助動,H,未然形①に接続する場合はH、未然形②に接続する場合はL,近畿日本語アクセント辞典
-ねん,,終助,LL,,近畿日本語アクセント辞典
-はる,,助動,HH,京都方言ではLL。,近畿日本語アクセント辞典
-ひん,,助動,LL,,近畿日本語アクセント辞典
-へなんだ,,連語,LLLL,正則ではないが、HLLLも許容。,近畿日本語アクセント辞典
-へん,,助動,LL,,近畿日本語アクセント辞典
-へんで,,連語,LLL,,近畿日本語アクセント辞典
-べし,,助動,HL,,近畿日本語アクセント辞典
-まい,,助動,HL,,近畿日本語アクセント辞典
-ます,,助動,HH/LH,HHは強勢形。,近畿日本語アクセント辞典
-ませなんだ,,連語,HHLLL/LHLLL,HのあとではHHLLL、LのあとではLHLLL,近畿日本語アクセント辞典
-やが,,接助,HL,,近畿日本語アクセント辞典
-やすい,易い,助動,HLL,,近畿日本語アクセント辞典
-やる,,助動,LL,,近畿日本語アクセント辞典
-やん,,助動(俗),HH,,近畿日本語アクセント辞典
-よう,,助動,HL,,近畿日本語アクセント辞典
-よってに,,接助,LLLL,,近畿日本語アクセント辞典
-ら,等,接尾語,L,,近畿日本語アクセント辞典
